Designator,Value,Quantity,Description,Link
U1,ATmega328P-P,1,Microcontroller (DIP-28),https://botland.com.pl/avr-w-obudowie-tht/1264-mikrokontroler-avr-atmega328p-u-dip-5903351249928.html
MQ-2,MQ-2,1,Gas Sensor Module,https://allegro.pl/oferta/czujnik-dymu-i-gazow-latwopalnych-mq-2-modul-detekcji-5v-150ma-50-c-15262241063?bi_s=ads&bi_m=productlisting:desktop:query&bi_c=YjhjZGQ1NzEtMzE2ZC00ZWUzLWFkNDYtMWUyYmJkYWIyNTA2AA&bi_t=ape&referrer=proxy&emission_unit_id=a291bb6e-6e97-41b4-b718-58dd6360974a
J2,Conn_01x08,1,USB Type C Breakout Board - Downstream Connection,https://www.adafruit.com/product/4090
R1-R3,220R,3,Resistor for LEDs,https://botland.com.pl/rezystory-przewlekane/20014-rezystor-justpi-tht-cf-weglowy-14w-220-30szt-5904422329020.html
R4,10K,1,Pull-up Resistor,https://botland.com.pl/rezystory-przewlekane/20150-rezystor-justpi-tht-cf-weglowy-14w-10k-30szt-5904422329280.html
"C1,C2,C5,C6",100nF,4,Ceramic Capacitor,https://allegro.pl/produkt/kondensator-ceramiczny-100nf-50v-20szt-34571a79-9f0e-4410-b92e-28d50d95ad61?offerId=11813029272
"C3,C4",22pF,2,Ceramic Capacitors for Crystal,https://allegro.pl/produkt/kondensator-ceramiczny-22pf-50v-10szt-raster-5-91fd0173-13ec-4f39-bfed-c8610bd964cb?offerId=13624968332
Y1,16MHz,1,HC-49 Crystal,https://botland.com.pl/rezonatory/166-rezonator-kwarcowy-16mhz-hc49-niski-10szt-5904422358761.html
"D1,D2,D3","LED_G,LED_Y,LED_R",1,"G,Y,R LED",https://botland.com.pl/diody-led/19985-zestaw-diod-led-5mm-justpi-30szt-5904422329259.html
BZ1,Buzzer,1,12x9.5mm Active Buzzer (RM.7.5),https://allegro.pl/oferta/buzzer-aktywny-z-generatorem-5v-85db-16547323388?bi_s=ads&bi_m=productlisting:desktop:query&bi_c=MTlkZmQ1ZTUtZGEzNS00ZmQ1LTk5NGUtYWZiMWM3NTBlMTMzAA&bi_t=ape&referrer=proxy&emission_unit_id=e772d763-a6a7-4456-b3ce-356fbd1f459d
J1,ISP,1,ISP programming interface,https://botland.com.pl/gniazda-szpilkowe-goldpin/5873-gniazdo-zenskie-2x3-raster-254mm-5-szt-5904422374693.html
none,none,1,Adafruit 4090 Male Header,https://botland.com.pl/akcesoria-do-raspberry-pi-pico/18854-zestaw-zlacz-meskich-do-gpio-raspberry-pi-pico-5904422328511.html
none,none,1,MQ-2 sensor female header,https://botland.com.pl/gniazda-szpilkowe-goldpin/8503-gniazdo-proste-1x4pin-raster-254mm-pionowe-10szt-5904422336554.html
none,none,1,Breadboard (for connecting the microcontroller with arduino for programming),https://botland.com.pl/plytki-stykowe/19943-plytka-stykowa-justpi-830-otworow-5904422328610.html
none,none,1,Jumper wires for programming Male/Male,https://botland.com.pl/przewody-polaczeniowe-mesko-meskie/19622-zestaw-przewodow-polaczeniowych-justpi-mesko-meskie-20cm-40szt-5903351243018.html
none,none,1,Jumper wires for MQ-2 Male/Female,https://botland.com.pl/przewody-polaczeniowe-zensko-meskie/19949-przewody-polaczeniowe-zensko-meskie-justpi-10cm-40szt-5904422328696.html
none,none,1,Arduino Nano or any other arduino (for programming),https://allegro.pl/oferta/nano-3-0-atmega328-ch340-kompatybilny-z-arduino-usb-c-niezlutowany-16578881126?bi_s=ads&bi_m=productlisting:desktop:query&bi_c=YjZjZGNjM2YtNzJlYS00ODI2LWJkMGYtMmU3ZjY2NjZlY2QzAA&bi_t=ape&referrer=proxy&emission_unit_id=34f77014-a8f9-4afd-b34f-b1209c748772
TOTAL,≈ 32.76USD, , ,
